cafeName	orderByNew	concept	nofConKatsu	WantToGo	OperatingHours	Fee	NearestStation	Area	concept_list
歌舞伎-巫女喫茶-	44	和風×巫女	0.0	7.0	月 18:00 - 24:00 火 18:00 - 24:00 水 18:00 - 24:00	3,600円～初回 1,800円～（税サ込）	JR各線・東京メトロ丸の内線・副都心線・都営大江戸線・新宿線「新宿駅」より徒歩3分西武新宿線「西武新宿駅」より徒歩3分都営大江戸線「新宿西口駅」より徒歩3分	Kanto	['和風', '巫女']
Sugar Sweet（シュガースイート）	45	アイドル×メイド	0.0	0.0	月 17:00 - 23:30 火 17:00 - 23:30 水 17:00 - 23:30	4,500円	秋葉原駅徒歩５分	Kanto	['アイドル', 'メイド']
BlooMuse	46	妖精×お花	0.0	0	月 12:00 - 22:00 火 12:00 - 22:00 水 12:00 - 22:00	1,650円〜	上前津駅/徒歩6分	Tokai	['妖精', 'お花']
e→mit (えみっと)	47	サイバー×悪魔	0.0	0.0	月 19:00 - LAST 火 19:00 - LAST 水 19:00 - LAST	2,500円〜	吉祥寺駅/徒歩1分	Kanto	['サイバー', '悪魔']
LEGION	48	男装	0.0	0	月 18:00 - 25:00 火 お休み 水 18:00 - 25:00		栄駅/徒歩9分	Tokai	['男装']
男装カフェ&バー Toi-et-moi	49	男装	0.0	0	月 お休み 火 お休み 水 お休み		上前津駅/徒歩5分	Tokai	['男装']
ぽじてぃぶeXとりーむ計画	50	アイドル	0.0	0	月 18:00 - LAST 火 18:00 - LAST 水 18:00 - LAST	3000円JR奈良駅		Kansai	['アイドル']
Queen	51	お姫様	0.0	0.0	月 お休み 火 16:00 - 23:00 水 16:00 - 23:00	2,000円〜	新宿駅/徒歩1分	Kanto	['お姫様']
Revelio SHINJUKU -レベリオ 新宿-	52	魔法	0.0	1.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00		新宿駅/徒歩4分	Kanto	['魔法']
あなたのうさぎになりたいの。	53	うさぎ	0.0	1	月 17:00 - 25:00 火 17:00 - 25:00 水 17:00 - 25:00	1,000円〜	三宮駅/徒歩5分	Kansai	['うさぎ']
F.i.P 福島アイドル化プロジェクト	54	育成型	0.0	0	月 18:00 - LAST 火 18:00 - LAST 水 18:00 - LAST	1,300円〜	福島駅/徒歩3分	Kansai	['育成型']
りぼんぱるふぇ	55	メイド	0.0	0.0		お一人様3,000円～	JR総武線 / 飯田橋駅 徒歩7分都営大江戸線 / 牛込神楽坂駅 徒歩9分	Kanto	['メイド']
AKIBAスモーカーズ 本店	56	メイド×シーシャ×パンダ	0.0	0.0	月 14:00 - 22:00 火 14:00 - 22:00 水 14:00 - 22:00	3,000円〜	末広町駅/徒歩2分	Kanto	['メイド', 'シーシャ', 'パンダ']
全宇宙魔法使い あすとろピア	57	コスプレイヤー	0.0	0.0	月 お休み 火 18:00 - 23:00 水 18:00 - 23:00	1,500円〜	池袋駅/徒歩3分	Kanto	['コスプレイヤー']
MaidCafe Pixie	58	妖精	0.0	0	月 15:00 - 23:00 火 15:00 - 23:00 水 15:00 - 23:00	1,400円〜	恵美須町駅/徒歩6分なんば駅/徒歩7分	Kansai	['妖精']
大阪コンセプトカフェ　多次元秘密基地Δ	59	ナース×VTuber	0.0	0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	2,200円〜	長堀橋駅/徒歩6分日本橋駅/徒歩8分	Kansai	['ナース', 'VTuber']
あいちゅ〜る	60	猫	0.0	0.0	月 19:00 - 24:00 火 19:00 - 24:00 水 19:00 - 24:00		西武新宿駅/徒歩3分	Kanto	['猫']
ノラ猫でも愛してくれますか？	61	ねこ	0.0	0	月 17:00 - 25:00 火 17:00 - 25:00 水 17:00 - 25:00	3,000円〜	栄駅/徒歩5分	Tokai	['ねこ']
maid絶対領域ConnectDoll	62	ドール	0.0	0	月 17:00 - 22:00 火 17:00 - 22:00 水 17:00 - 22:00	1,000円〜	恵美須町駅/徒歩5分	Kansai	['ドール']
NEO:ALCOHOLIC	63	近未来×病院	0.0	0.0	月 18:00 - 24:00 火 18:00 - 24:00 水 18:00 - 24:00	3,100円〜	秋葉原駅/徒歩2分	Kanto	['近未来', '病院']
金曜日のプリンセス	64	アイドル×お姫様	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	3,300円〜	新宿駅/徒歩7分	Kanto	['アイドル', 'お姫様']
ama♡しゅわ	65	アイドル	0.0	0.0	月 18:00 - 24:00 火 18:00 - 24:00 水 18:00 - 24:00	3,000円〜	西武新宿駅/徒歩5分	Kanto	['アイドル']
ぴんきーなーちゅ	66	ナース	0.0	0	月 お休み 火 17:45 - LAST 水 17:45 - LAST	3,000円〜	長野駅/徒歩2分	Koushinetsu	['ナース']
Amaryllis -アマリリス-	67	お人形	0.0	1	月 お休み 火 18:00 - 25:00 水 18:00 - 25:00	2,300円〜	権堂駅/徒歩5分	Koushinetsu	['お人形']
親不孝♡♡	68	アイドル	0.0	0	月 18:00 - LAST 火 18:00 - LAST 水 18:00 - LAST	4,000円～	天神駅・赤坂駅より徒歩7分	Kyusyu and Okinawa	['アイドル']
maison是々非々	69	シーシャ	0.0	0	月 17:00 - 23:00 火 17:00 - 23:00 水 17:00 - 23:00	2,800円〜	上前津駅/徒歩5分大須観音駅/徒歩6分	Tokai	['シーシャ']
メイギルドエレジア 上前津店	70	メイド×ギルド	0.0	0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	1,500円〜	上前津駅/徒歩1分	Tokai	['メイド', 'ギルド']
コンセプトカフェ＆バーアリス	71	アリス	0.0	0	月 21:00 - 25:00 火 21:00 - 25:00 水 21:00 - 25:53	60分2500円〜	岡山駅	Chugoku and Shikoku	['アリス']
ちゅーずみー	72	メイド	0.0	1.0	月 19:00 - 24:00 火 19:00 - 24:00 水 19:00 - 24:00	3,000円～	西武新宿駅　徒歩2分新宿駅　徒歩5分	Kanto	['メイド']
夢を彷徨うイバラの森	73	お姫様×ゴシック	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	3,000円～	西武新宿駅 徒歩2分新宿駅 徒歩5分	Kanto	['お姫様', 'ゴシック']
新橋 二次元カノジョ	74	JK×アイドル×学園×学校×制服×女子大生×2.5次元	0.0	7.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	¥2,980	新橋駅	Kanto	['JK', 'アイドル', '学園', '学校', '制服', '女子大生', '2.5次元']
秋葉原 二次元カノジョ	75	JK×アイドル×学園×学校×制服×女子大生×2.5次元	0.0	12.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	¥2,980	秋葉原	Kanto	['JK', 'アイドル', '学園', '学校', '制服', '女子大生', '2.5次元']
Cafe & Barでぃあしす	76	妹×地雷系	0.0	0.0	月 17:00 - 23:30 火 17:00 - 23:30 水 17:00 - 23:30		西武新宿駅/徒歩2分新宿西口駅/徒歩4分	Kanto	['妹', '地雷系']
charmy Moon〜Queen of Pirates〜	77	お姫様×高級感	0.0	1				Hokkaido and Tohoku	['お姫様', '高級感']
コンセプトカフェBell	78	アイドル×お菓子×お姫様×かわいい×メイド	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	お一人様10,000円	西川口駅から徒歩1分	Kanto	['アイドル', 'お菓子', 'お姫様', 'かわいい', 'メイド']
コンセプトカフェBee	79	アイドル×かわいい×マーメイド×マリン	0.0	1.0	月 16:00 - 29:00 火 16:00 - 29:00 水 16:00 - 29:00	お一人様5,000円	赤羽駅から徒歩3分	Kanto	['アイドル', 'かわいい', 'マーメイド', 'マリン']
QUEEN×BUNNY -クイーンバニー-	80	かわいい×コスプレ×メイド	0.0	2	月 お休み 火 18:00 - 24:00 水 18:00 - 24:00	1人7000円～	大阪メトロ御堂筋線 心斎橋駅より徒歩5分近鉄難波線 近鉄日本橋駅より徒歩7分	Kansai	['かわいい', 'コスプレ', 'メイド']
みゅーとぴあ	81	ラグジュアリー×顔ラン	0.0	0.0	月 19:00 - 25:00 火 19:00 - 25:00 水 19:00 - 25:00	予算3,000円～	東新宿駅　徒歩3分西武新宿駅　徒歩5分	Kanto	['ラグジュアリー', '顔ラン']
LOVETONiC-ラブトニック-	82	かわいい×コスプレ×メイド	0.0	2	月 22:00 - 30:00 火 22:00 - 30:00 水 22:00 - 30:00	7000円/1人	大阪メトロ心斎橋駅 徒歩10分大阪メトロなんば駅 徒歩15分	Kansai	['かわいい', 'コスプレ', 'メイド']
ぴゅあはーと	83	メイド	0.0	0	月 18:30 - 24:00 火 18:30 - 24:00 水 お休み	3,000円	JR山陽本線　姫路駅　北口から徒歩約3分山陽電鉄本線　山陽姫路駅から徒歩約3分	Kansai	['メイド']
-給仕喫茶-おきがるに。	84	和風	0.0	0	月 お休み 火 お休み 水 お休み	1000円〜	京阪｢藤森駅｣徒歩5分ＪＲ｢伏見駅｣徒歩15分	Kansai	['和風']
ここひめカフェ	85	メイド	0.0	0	月 15:00 - 21:00 火 15:00 - 21:00 水 お休み	お一人様３，０００円～		Hokkaido and Tohoku	['メイド']
cafe&bar soemel（そえめる）	86	王子	0.0	0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00		日本橋駅/徒歩5分	Kansai	['王子']
執事カフェ リンク【大阪館】	87	執事	0.0	0	月 19:00 - 25:00 火 19:00 - 25:00 水 19:00 - 25:00		長堀橋駅/徒歩7分	Kansai	['執事']
cafe&bar RuXero（ルゼロ）	88	イケメン	0.0	0	月 19:00 - 25:00 火 19:00 - 25:00 水 19:00 - 25:00		長堀橋駅/徒歩7分	Kansai	['イケメン']
neusick	89	かわいい	0.0	0.0	月 17:00 - 23:00 火 17:00 - 23:00 水 17:00 - 23:00	2,400円	秋葉原駅/徒歩6分	Kanto	['かわいい']
推しのいるアイドル学園	90	アイドル	0.0	0	月 15:00 - 23:00 火 15:00 - 23:00 水 15:00 - 23:00			Kansai	['アイドル']
MyuMyu	91	アニメ	0.0	0.0	月 12:00 - LAST 火 12:00 - LAST 水 12:00 - LAST	1名3,600円～	川崎駅	Kanto	['アニメ']
Milk Tears -みるてぃあ-	92	地雷系	0.0	3.0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	1,500円	末広町駅/徒歩3分秋葉原駅/徒歩5分	Kanto	['地雷系']
ゆめ恋	93	夢	0.0	0.0	月 16:00 - LAST 火 16:00 - LAST 水 16:00 - LAST		末広町駅/徒歩3分秋葉原駅/徒歩7分	Kanto	['夢']
Biura	94	メイド	0.0	1.0	月 14:00 - 25:00 火 14:00 - 25:00 水 14:00 - 25:00		末広町駅/徒歩4分秋葉原駅/徒歩6分	Kanto	['メイド']
あんりみてっど	95	魔法少女	0.0	0.0	月 17:00 - 24:00 火 17:00 - 24:00 水 17:00 - 24:00		秋葉原駅/徒歩2分	Kanto	['魔法少女']
RoyalDrop	96	魔法学校	0.0	1.0	月 17:00 - 24:00 火 17:00 - 24:00 水 17:00 - 24:00		末広町駅/徒歩1分秋葉原駅/徒歩7分	Kanto	['魔法学校']
Classy Princess	97	姫系	0.0	0.0	月 16:00 - 25:00 火 16:00 - 25:00 水 16:00 - 25:00	3,000円	末広町駅/徒歩2分秋葉原駅/徒歩6分	Kanto	['姫系']
ご自愛メシア	98	アイドル	0.0	3.0	月 17:00 - LAST 火 17:00 - LAST 水 17:00 - LAST	お一人2,400円～	秋葉原駅	Kanto	['アイドル']
Alice Party	99	アリス	0.0	1.0	月 15:00 - 24:00 火 15:00 - 24:00 水 15:00 - 24:00		秋葉原駅/徒歩8分	Kanto	['アリス']
月兎計画-getplan-	100	うさぎ×月	0.0	0.0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	3,000円～	西武新宿駅　徒歩1分新宿駅　徒歩5分	Kanto	['うさぎ', '月']
アイメロ	101	アイドル	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	3,600円〜	末広町駅/徒歩3分秋葉原駅/徒歩5分	Kanto	['アイドル']
PoonyBaby-ぷにべび-	102	かわいい	0.0	0.0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	3,000円～	西武新宿駅　徒歩3分新宿駅　徒歩5分	Kanto	['かわいい']
HuGMo（はぐも）	103	メイド	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	2,980円〜	秋葉原駅/徒歩1分	Kanto	['メイド']
PremiumFirstClass	104	飛行機	0.0	0.0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00		末広町駅/徒歩3分	Kanto	['飛行機']
LiLiPet	105	ねこ×悪魔	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00		秋葉原駅/徒歩4分末広町駅/徒歩4分	Kanto	['ねこ', '悪魔']
アニソンバーもふる 秋葉原店	106	アニソン	0.0	0.0	月 18:00 - 29:00 火 18:00 - 29:00 水 18:00 - 29:00		秋葉原駅/徒歩2分	Kanto	['アニソン']
eternal 本店	107	メイド	0.0	0.0	月 15:00 - LAST 火 15:00 - LAST 水 15:00 - LAST		末広町駅/徒歩2分秋葉原駅/徒歩6分	Kanto	['メイド']
カランコロン	108	レトロ×ゆめかわいい	0.0	0.0	月 19:00 - 29:00 火 19:00 - 29:00 水 19:00 - 29:00		末広町駅/徒歩2分秋葉原駅/徒歩8分	Kanto	['レトロ', 'ゆめかわいい']
海月	109	マーメイド	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00		末広町駅/徒歩2分秋葉原駅/徒歩6分	Kanto	['マーメイド']
HIGH-SPEC PRINCESS	110	お姫様	0.0	2.0	月 15:00 - 23:00 火 15:00 - 23:00 水 15:00 - 23:00		末広町駅/徒歩4分秋葉原駅/徒歩6分	Kanto	['お姫様']
BugLimit-ばぐりみっと-	111	ポリス	0.0	0.0	月 19:00 - LAST 火 19:00 - LAST 水 19:00 - LAST	3,000円～	西武新宿駅　徒歩3分新宿3丁目駅　徒歩5分	Kanto	['ポリス']
アイドルIKUSEI劇場	112	アイドル	0.0	0	月 21:00 - LAST 火 21:00 - LAST 水 21:00 - LAST	1時間 2,500円～	モノレール美栄橋駅から徒歩8分	Kyusyu and Okinawa	['アイドル']
Anokoro Memories	113	かわいい×レトロ×制服	2.0	6.0	月 09:00 - LAST 火 09:00 - LAST 水 09:00 - LAST	予算目安 3,500円～初回 2,400円～（税サ込）	各線「池袋駅」北口より徒歩3分	Kanto	['かわいい', 'レトロ', '制服']
ときめきぷらす	114	お人形	0.0	0	月 お休み 火 17:00 - 28:00 水 17:00 - 28:00	お一人様3,000円～		Kyusyu and Okinawa	['お人形']
でびるんこねくと	115	悪魔	0.0	0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	3000〜5000円	地下鉄　御堂筋線　心斎橋駅、なんば駅地下鉄　堺筋線　長堀橋駅、日本橋駅	Kansai	['悪魔']
懺悔の時間です	116	シスター	0.0	0.0	月 19:00 - LAST 火 19:00 - LAST 水 19:00 - LAST	3,000円～	秋葉原駅　徒歩2分	Kanto	['シスター']
